Perfil,Estado,Edad,Genero,ScoreCrediticio,PorcentajeFinanciacion,Plazo,IngresoEstimado,Gastos,CapacidadDePago,ValorCuotaMensual,M3_30AC
1,1,22,1,719,0.2708,60,2718872.0,926382.4,1.093352136,1639444,1
0,1,34,0,772,1.0,72,2799661.0,2153294.53,0.26018911,2484218,0
1,1,37,0,758,1.0,72,2404992.0,2249214.63,0.068631225,2269774,0
1,1,51,1,778,1.0,72,9538116.0,5282549.53,1.738113771,2448382,0
1,0,37,1,719,1.0,84,1539200.0,565693.2,0.911355968,1068196,0
1,1,56,1,798,1.0,72,15261687.0,4277301.63,5.30426522,2070859,0
0,1,23,1,814,0.5326,48,6602497.0,1844946.04,4.429209249,1074131,0
1,1,34,1,773,1.0286,72,1770942.0,1432249.02,0.215345466,1572789,1
1,1,43,0,719,0.68,72,2160615.0,1274437.57,0.578333434,1532295,0
1,1,49,1,864,0.5596,72,24388309.0,10545414.47,5.376480614,2574713,0
1,1,42,0,794,1.0,72,4793000.0,4347946.18,0.205096762,2169970,0
0,0,63,1,714,0.2292,84,4885400.0,1649454.38,11.74056266,275621,0
0,0,36,1,713,1.0,72,2561200.0,1361141.65,0.877892772,1366976,0
0,0,26,1,719,0.9057,60,6407148.0,1678405.04,2.577161241,1834865,1
0,0,23,1,709,0.344,60,1459286.0,667510.22,1.173613173,674648,0
1,1,33,1,705,1.0,60,5111760.0,3421228.84,0.944377002,1790102,0
1,1,36,1,749,0.9938,72,1268189.0,915573.25,0.158723387,2221574,0
1,1,54,0,768,0.6629,72,7487834.0,6396307.86,0.747584289,1460071,0
0,1,67,0,835,0.8696,72,1599368.0,1164876.72,0.299440376,1451011,0
0,0,55,1,754,1.0182,48,0.0,1189528.63,-0.995235726,1195223,0
1,1,43,1,758,1.0,72,5313230.0,2961429.39,0.935959952,2512715,0
0,1,46,0,772,0.5221,60,5481758.0,1052188.34,1.996542743,2218620,0
0,1,52,1,829,0.2374,60,5618200.0,1674988.7,5.956215627,662033,0
1,1,28,1,748,1.0,72,4328102.0,4122316.17,0.051259655,4014577,0
1,1,27,1,609,1.0,72,2494414.0,1207372.46,0.620228104,2075110,0
1,1,46,0,760,0.7391,60,0.0,2578896.58,-1.203107856,2143529,0
1,1,27,0,628,1.0,72,2287439.0,1423221.54,0.478249792,1807042,0
0,0,39,0,769,0.9212,72,8443494.0,1749811.05,4.173860661,1603715,0
1,0,32,1,699,0.7585,60,2583739.0,2001814.19,0.818577081,710898,0
1,0,36,1,767,0.1333,12,1422720.0,609665.57,0.726753862,1118748,0
1,1,47,1,797,0.2437,48,1335565.0,1410140.12,-0.094595861,788355,0
1,0,54,1,775,1.0,84,1177255.0,468052.4,0.686536594,1033015,0
0,0,56,0,836,1.0,84,1000000.0,1408206.65,-0.343258965,1189209,0
0,1,43,1,730,0.8,72,8685360.0,1103474.15,3.773413532,2009291,0
1,0,60,0,837,1.0,72,0.0,6053074.21,-5.361813171,1128923,0
1,1,38,1,662,1.025,72,1000000.0,1005462.29,-0.001939337,2816576,0
1,0,53,0,906,0.2541,48,0.0,1686852.57,-5.305018256,317973,0
1,1,29,0,798,0.9862,72,1527053.0,685527.98,0.394656755,2132296,0
0,1,28,0,707,0.7642,72,1781760.0,2420282.48,-0.44810073,1424953,0
1,0,43,0,791,1.0,84,1937155.0,1119789.95,0.682735712,1197191,0
1,1,41,0,769,1.0,72,6816547.0,4050302.07,1.101693267,2510903,0
0,1,36,0,671,0.5484,84,4712683.0,1380379.79,1.623710255,2052277,0
1,0,70,1,655,0.9364,48,1907741.0,1034462.83,0.948707019,920493,0
0,1,61,1,641,0.2403,24,1363292.0,660328.66,0.600955886,1169742,0
0,1,50,1,937,1.0,72,5935244.0,1640590.3,1.27959658,3356256,0
1,0,22,0,649,1.0,84,1451929.0,651132.64,0.798228459,1003217,0
1,1,40,1,783,1.0,60,34800000.0,19712318.69,7.575190581,1991723,0
1,0,30,1,869,1.0,72,1483539.0,730666.8,0.618758722,1216746,0
1,1,49,1,714,0.7084,60,18884983.0,4294471.63,5.467563894,2668558,0
1,0,25,0,763,0.2632,12,1405345.0,939622.68,0.695402708,669716,0
1,1,37,1,686,1.0,84,8968119.0,4098153.95,1.300935545,3743433,0
1,0,25,0,823,0.8954,60,2782153.0,747374.34,1.752205703,1161267,0
0,1,55,1,759,1.0121,60,2394308.0,573465.02,0.834786877,2181207,0
0,1,49,1,779,0.5402,84,3003468.0,1244013.55,1.555452224,1131153,0
1,0,38,1,736,1.0,48,3136978.0,1871020.06,1.411170173,897098,0
0,1,35,0,766,1.0,84,2418508.0,1521069.77,0.562479108,1595505,0
1,0,32,1,778,1.0,84,1706983.0,1386742.73,0.169866029,1885252,0
1,1,70,1,858,0.1635,48,6024735.0,3128184.22,2.458343649,1178253,0
1,1,26,0,746,1.0,72,1719409.0,888182.69,0.544878494,1525526,0
1,1,42,1,686,1.0254,72,2663041.0,2050548.18,0.424168703,1443984,0
1,1,56,1,820,0.9327,60,2423904.0,829227.15,0.697723408,2285543,0
1,1,47,0,790,0.2571,36,2142830.0,2096106.58,0.077056721,606351,0
0,1,31,1,667,0.792,60,2236852.0,1204754.41,0.746305227,1382943,0
1,0,68,0,822,1.0,72,0.0,5183986.72,-6.115009083,847748,0
0,0,37,1,736,0.9577,84,0.0,5703646.59,-2.471045125,2308192,1
1,0,34,1,659,0.708,48,1159569.0,872980.26,0.37307304,768184,0
1,1,41,0,770,0.2631,72,9004093.0,11389707.28,-3.890719769,613155,0
1,1,40,1,736,0.8675,72,1887260.0,2306294.99,-0.249946907,1676496,0
0,0,56,1,681,0.8,84,1000000.0,440335.78,0.189434075,2954401,0
1,1,67,0,792,1.0198,72,2052158.0,603939.59,0.567737316,2550860,0
1,1,43,0,664,1.0,84,0.0,990387.1,-0.496444342,1994961,0
1,1,57,1,722,0.3135,60,0.0,3304153.03,-3.27764345,1008088,0
1,0,47,0,840,0.1665,24,0.0,2390024.22,-6.586048246,362892,0
0,1,54,1,775,0.7312,84,7468828.0,1868618.63,1.705410844,3283789,0
1,1,29,1,741,1.0,72,0.0,995337.82,-0.37574664,2648960,0
1,1,38,0,755,0.5101,72,5201929.0,3852235.25,0.694545934,1943275,0
1,1,37,1,816,1.0,72,2507400.0,1113793.27,0.703593393,1980699,0
1,1,32,1,738,0.8288,72,1339356.0,1297246.46,0.030620176,1375222,0
0,0,57,0,946,1.0,60,1987984.0,746024.39,0.912394504,1361209,0
1,1,31,1,619,0.9988,84,1180823.0,927106.65,0.165730083,1530901,0
0,1,68,1,880,0.9774,72,3178975.0,1510781.03,1.08605247,1536016,0
0,1,48,1,726,1.0,72,1287326.0,1100099.7,0.113831572,1644766,0
0,0,60,1,724,0.3965,48,1691271.0,1081050.97,0.740627498,823923,0
0,1,49,0,757,0.6656,60,1569732.0,450315.41,1.029332498,1087517,0
1,1,65,0,755,0.9967,72,1000000.0,446016.55,0.222432574,2490568,0
1,1,25,0,692,0.8859,48,3807360.0,1340456.55,1.435017931,1719075,0
1,1,59,0,738,0.3047,36,5904228.0,3267960.35,1.541731986,1709939,0
1,1,50,1,834,0.4287,48,4054062.0,1618851.24,2.190706057,1111610,0
1,0,62,0,794,0.4118,60,0.0,4191463.6,-5.14110862,815284,0
0,1,56,1,740,1.031,72,4502783.0,2405045.24,1.050460327,1996970,0
1,1,28,1,715,0.5459,60,4660511.0,2448808.29,1.969334717,1123071,0
0,1,34,0,710,0.7673,60,3761857.0,2337170.15,0.786668233,1811039,0
1,1,37,1,787,0.4626,72,1410295.0,628347.86,0.734216035,1065010,0
0,1,49,1,660,0.6829,60,2302588.0,2499209.79,-0.100750105,1951579,1
1,0,61,1,791,0.83,84,2981343.0,1789528.73,1.156705932,1030352,0
1,0,41,1,767,0.6048,84,4570593.0,2810243.09,1.625064884,1083249,0
0,0,60,0,770,0.4615,48,1910400.0,1447006.95,0.783261299,591620,0
0,1,39,1,822,0.9559,72,0.0,1405499.73,-0.638902138,2199867,0
1,1,46,0,665,0.2857,48,1226378.0,1500553.03,-0.537056829,510514,0
0,0,32,1,741,0.8,72,25982620.0,17999847.27,4.799528589,1663241,1
0,0,51,0,810,0.6579,60,5357199.0,1591471.05,5.223343833,720942,0
0,1,42,1,697,0.4647,72,6497804.0,4064880.54,1.913862813,1271211,0
1,0,62,1,686,1.0,72,1271201.0,1286110.61,-0.014490332,1028935,0
1,0,33,0,765,1.0,72,1998428.0,836125.16,0.944128063,1231086,0
1,1,63,1,746,1.0,72,1160000.0,585481.3,0.217584291,2640442,0
0,1,34,1,806,1.0246,72,4473841.0,864584.23,1.521259563,2372545,0
0,1,56,1,762,0.8376,72,5802174.0,2643992.19,0.586403974,5385676,0
0,1,43,0,858,0.6623,72,4029598.0,1328970.48,1.057769596,2553134,0
1,1,38,1,654,1.0,72,0.0,2594174.05,-1.49616183,1733886,0
0,1,59,0,828,0.5357,72,11162160.0,3644071.12,5.441120635,1381717,0
0,1,47,0,832,0.5817,72,3053303.0,1339380.19,1.909014552,897805,0
